title,year,tmdb_id,matched_title,budget,revenue,roi,vote_average,vote_count,has_financials,has_reception,usable
Serial Mom,1994,11592,Serial Mom,13000000,7820688,0.6,6.7,767,True,True,True
Seven,1995,465948,Seven Sundays,0,0,,7.6,5,False,False,False
Sex and the City,2008,4564,Sex and the City,65000000,418800000,6.44,6.548,2271,True,True,True
"Sex, Lies, and Videotape",1989,1412,"sex, lies, and videotape",1200000,24741667,20.62,6.95,1043,True,True,True
Sexual Life,2005,63334,Sexual Life,0,0,,4.867,15,False,False,False
Shakespeare in Love,1998,1934,Shakespeare in Love,25000000,289317794,11.57,6.833,3227,True,True,True
Shallow Grave,1994,9905,Shallow Grave,2500000,19779614,7.91,7.0,1146,True,True,True
Shame,2011,76025,Shame,6500000,3909002,0.6,6.931,3427,True,True,True
Shampoo,1975,31121,Shampoo,4000000,60000000,15.0,6.0,238,True,True,True
Sherlock Holmes,2009,10528,Sherlock Holmes,90000000,524028679,5.82,7.221,14824,True,True,True
Shes Out of My League,2010,34016,She's Out of My League,20000000,49800000,2.49,6.487,2350,True,True,True
Shifty,2008,21900,Shifty,0,245426,,5.8,37,False,False,False
Shine,1996,7863,Shine,5500000,35892330,6.53,7.366,711,True,True,True
Shivers,1975,27429,Shivers,179000,1000000,5.59,6.362,719,True,True,True
Shock Treatment,1981,27997,Shock Treatment,3500000,0,0.0,5.8,106,False,True,False
Shrek the Third,2007,810,Shrek the Third,160000000,808310187,5.05,6.311,9823,True,True,True
Shrek,2001,808,Shrek,60000000,489676241,8.16,7.767,18869,True,True,True
Sideways,2004,9675,Sideways,16000000,109502303,6.84,7.116,1899,True,True,True
Signs,2002,2675,Signs,72000000,408200000,5.67,6.719,6347,True,True,True
Silver Bullet,1985,17898,Silver Bullet,7000000,12400000,1.77,6.64,698,True,True,True
Silver Linings Playbook,2012,82693,Silver Linings Playbook,21000000,236412453,11.26,7.154,12680,True,True,True
Silverado,1985,11509,Silverado,23000000,32192570,1.4,6.949,826,True,True,True
Simone,2002,9296,S1m0ne,10000000,19576023,1.96,5.995,1005,True,True,True
Sister Act,1992,2005,Sister Act,31000000,231605150,7.47,6.829,3460,True,True,True
Six Degrees of Separation,1993,23210,Six Degrees of Separation,15000000,6284090,0.42,6.409,369,True,True,True
Sleepless in Seattle,1993,858,Sleepless in Seattle,21000000,227799884,10.85,6.741,2602,True,True,True
Sleepy Hollow,1999,2668,Sleepy Hollow,100000000,206071526,2.06,7.193,7407,True,True,True
Sling Blade,1996,12498,Sling Blade,1200000,34100000,28.42,7.543,869,True,True,True
Slither,2006,9035,Slither,15000000,12834936,0.86,6.544,1742,True,True,True
Slumdog Millionaire,2008,12405,Slumdog Millionaire,15000000,378400000,25.23,7.73,11382,True,True,True
Smashed,2012,84341,Smashed,500000,377000,0.75,6.461,306,True,True,True
Smoke,1995,10149,Smoke,7000000,8349430,1.19,7.194,532,True,True,True
Smokey and the Bandit,1977,11006,Smokey and the Bandit,4300000,126700000,29.47,6.98,812,True,True,True
Smokin Aces,2006,7516,Smokin' Aces,17000000,57103895,3.36,6.484,1844,True,True,True
Snatch,2000,107,Snatch,100000000,83557872,0.84,7.825,10041,True,True,True
Snow Falling on Cedars,1999,10219,Snow Falling on Cedars,35000000,0,0.0,6.1,150,False,True,False
Snow White and the Huntsman,2012,58595,Snow White and the Huntsman,170000000,396600000,2.33,5.986,8255,True,True,True
So I Married an Axe Murderer,1993,10442,So I Married an Axe Murderer,20000000,11585483,0.58,6.108,482,True,True,True
Solarbabies,1986,36677,Solarbabies,25000000,1579260,0.06,5.315,89,True,True,True
Solaris,2002,2103,Solaris,47000000,30002758,0.64,5.951,1460,True,True,True
Soldier,1998,9425,Soldier,75000000,14594226,0.19,6.417,956,True,True,True
Some Like It Hot,1959,239,Some Like It Hot,2900000,25000000,8.62,8.078,3903,True,True,True
Someone to Watch Over Me,1987,31650,Someone to Watch Over Me,17000000,10278549,0.6,5.878,217,True,True,True
Somethings Gotta Give,2003,6964,Something's Gotta Give,80000000,270000000,3.38,6.633,1772,True,True,True
Sounder,1972,42489,Sounder,0,0,,7.491,57,False,True,False
Source Code,2011,45612,Source Code,32000000,147332697,4.6,7.314,9170,True,True,True
"South Park: Bigger, Longer & Uncut",1999,9473,"South Park: Bigger, Longer & Uncut",21000000,83137864,3.96,7.283,2971,True,True,True
Spaceballs,1987,957,Spaceballs,22700000,38120460,1.68,6.9,3427,True,True,True
Spanglish,2004,2539,Spanglish,80000000,55470154,0.69,6.048,1397,True,True,True
Spare Me,1994,,,,,,,,False,False,False
Spartan,2004,11169,Spartan,19250000,8112712,0.42,6.164,423,True,True,True
Speed Racer,2008,7459,Speed Racer,120000000,93900000,0.78,6.4,1789,True,True,True
Sphere,1998,10153,Sphere,80000000,37020277,0.46,6.143,1833,True,True,True
Spider-Man,2002,557,Spider-Man,139000000,821708551,5.91,7.333,20781,True,True,True
St. Elmos Fire,1985,11557,St. Elmo's Fire,10000000,37803872,3.78,6.123,598,True,True,True
Stagecoach,1939,995,Stagecoach,531374,1103757,2.08,7.608,1236,True,True,True
Stalag 17,1953,632,Stalag 17,1661530,10000000,6.02,7.679,670,True,True,True
Star Trek,2009,13475,Star Trek,150000000,386839614,2.58,7.433,10536,True,True,True
Star Trek Generations,1994,193,Star Trek: Generations,38000000,118071125,3.11,6.517,1501,True,True,True
Star Trek II: The Wrath of Khan,1982,154,Star Trek II: The Wrath of Khan,12000000,96594943,8.05,7.446,2145,True,True,True
Star Trek VI: The Undiscovered Country,1991,174,Star Trek VI: The Undiscovered Country,27000000,96888996,3.59,7.029,1428,True,True,True
Star Trek V: The Final Frontier,1989,172,Star Trek V: The Final Frontier,33000000,63000000,1.91,5.726,1314,True,True,True
Star Trek: First Contact,1996,199,Star Trek: First Contact,46000000,146027888,3.17,7.298,1966,True,True,True
Star Trek: Nemesis,2002,201,Star Trek: Nemesis,60000000,67336470,1.12,6.294,1597,True,True,True
Star Trek: The Motion Picture,1979,152,Star Trek: The Motion Picture,44000000,139346243,3.17,6.481,1943,True,True,True
Star Wars,1977,11,Star Wars,11000000,775398007,70.49,8.205,22447,True,True,True
Star Wars Episode III: Revenge of the Sith,2005,1895,Star Wars: Episode III - Revenge of the Sith,113000000,850000000,7.52,7.47,15018,True,True,True
Star Wars Episode II: Attack of the Clones,2002,1894,Star Wars: Episode II - Attack of the Clones,120000000,649398328,5.41,6.594,14414,True,True,True
Star Wars Episode I: The Phantom Menace,1999,1893,Star Wars: Episode I - The Phantom Menace,115000000,1046515409,9.1,6.579,15915,True,True,True
Starman,1984,9663,Starman,22000000,28744356,1.31,6.936,1008,True,True,True
Starship Troopers,1997,563,Starship Troopers,105000000,121214377,1.15,7.11,5535,True,True,True
State and Main,2000,21991,State and Main,0,9206279,,6.273,297,False,True,False
Station West,1948,37294,Station West,0,0,,6.4,27,False,False,False
Stepmom,1998,9441,Stepmom,50000000,159710793,3.19,7.158,1547,True,True,True
Stigmata,1999,10307,Stigmata,29000000,50041732,1.73,6.299,1244,True,True,True
Stir of Echoes,1999,11601,Stir of Echoes,12000000,21142914,1.76,6.69,1356,True,True,True
Stolen Summer,2002,39541,Stolen Summer,1800000,163348,0.09,6.271,35,True,False,False
Storytelling,2001,16550,Storytelling,0,1318945,,6.546,207,False,True,False
Strange Days,1995,281,Strange Days,42000000,7959291,0.19,7.015,1564,True,True,True
Strangers on a Train,1951,845,Strangers on a Train,1200000,7000000,5.83,7.659,1893,True,True,True
Stranglehold,1931,476236,Stranglehold,0,0,,8.0,1,False,False,False
SubUrbia,1996,,,,,,,,False,False,False
Sugar & Spice,2001,16723,Sugar & Spice,11000000,13276953,1.21,6.4,295,True,True,True
Sugar,2008,17003,Sugar,0,0,,6.579,76,False,True,False
Sunset Boulevard,1950,599,Sunset Boulevard,1752000,5000000,2.85,8.273,2952,True,True,True
Sunshine Cleaning,2008,13090,Sunshine Cleaning,5000000,16174377,3.23,6.594,844,True,True,True
Super 8,2011,37686,Super 8,50000000,260100000,5.2,6.779,7116,True,True,True
Superbad,2007,8363,Superbad,20000000,170800000,8.54,7.27,8146,True,True,True
Supergirl,1984,9651,Supergirl,35000000,14296438,0.41,5.392,701,True,True,True
Superman,1978,1924,Superman,55000000,300478449,5.46,7.166,4307,True,True,True
Superman II,1980,8536,Superman II,54000000,216385706,4.01,6.763,2541,True,True,True
Superman III,1983,9531,Superman III,39000000,80250623,2.06,5.515,1898,True,True,True
Superman IV: The Quest for Peace,1987,11411,Superman IV: The Quest for Peace,17000000,36700000,2.16,4.604,1423,True,True,True
Surrogates,2009,19959,Surrogates,80000000,122444772,1.53,6.149,3457,True,True,True
Suspect Zero,2004,8080,Suspect Zero,27000000,13000000,0.48,5.553,385,True,True,True
Sweeney Todd: The Demon Barber of Fleet Street,2007,13885,Sweeney Todd: The Demon Barber of Fleet Street,50000000,153384272,3.07,7.18,6379,True,True,True
Sweet Smell of Success,1957,976,Sweet Smell of Success,3400000,2500000,0.74,7.598,585,True,True,True
Swingers,1996,10218,Swingers,200000,4505922,22.53,6.849,816,True,True,True
Swordfish,2001,9705,Swordfish,102000000,147080413,1.44,6.268,2968,True,True,True
"Synecdoche, New York",2008,4960,"Synecdoche, New York",20000000,4383538,0.22,7.536,1615,True,True,True
THX 1138,1971,636,THX 1138,777000,2437000,3.14,6.5,1068,True,True,True
TMNT,2007,1273,TMNT,34000000,95608995,2.81,6.188,1233,True,True,True
Taking Lives,2004,11081,Taking Lives,45000000,65470529,1.45,6.375,1756,True,True,True
Taking Sides,2001,,,,,,,,False,False,False
Tall in the Saddle,1944,15264,Tall in the Saddle,0,0,,6.6,74,False,True,False
Tamara Drewe,2010,38961,Tamara Drewe,0,12037973,,5.9,478,False,True,False
Taxi Driver,1976,103,Taxi Driver,1900000,28579636,15.04,8.124,13506,True,True,True
Ted,2012,72105,Ted,50000000,549368315,10.99,6.454,13240,True,True,True
Terminator 2: Judgment Day,1991,280,Terminator 2: Judgment Day,102000000,517778573,5.08,8.154,14410,True,True,True
Terminator Salvation,2009,534,Terminator Salvation,200000000,371353001,1.86,6.091,7080,True,True,True
The 13th Floor,1988,128896,The 13th Floor,600000,0,0.0,4.6,23,False,False,False
The 40-Year-Old Virgin,2005,6957,The 40 Year Old Virgin,26000000,177400000,6.82,6.426,7265,True,True,True
The Abyss,1989,2756,The Abyss,43000000,90000098,2.09,7.353,3463,True,True,True
The Addams Family,1991,2907,The Addams Family,30000000,191502426,6.38,7.1,5064,True,True,True
The Adjustment Bureau,2011,38050,The Adjustment Bureau,50200000,127900000,2.55,6.785,4950,True,True,True
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,11379,The Adventures of Buckaroo Banzai Across the 8th Dimension,17000000,6254148,0.37,5.955,497,True,True,True
The Adventures of Ford Fairlane,1990,9548,The Adventures of Ford Fairlane,49000000,20423389,0.42,6.102,235,True,True,True
"The Adventures of Priscilla, Queen of the Desert",1994,2759,"The Adventures of Priscilla, Queen of the Desert",2000000,29700000,14.85,7.258,922,True,True,True
The African Queen,1951,,,,,,,,False,False,False
The Age of Innocence,1993,10436,The Age of Innocence,34000000,32255440,0.95,7.0,1221,True,True,True
The American,2010,27579,The American,20000000,67900000,3.4,5.989,1521,True,True,True
The American President,1995,9087,The American President,62000000,107879496,1.74,6.541,786,True,True,True
The Amityville Horror,1979,11449,The Amityville Horror,4700000,86432488,18.39,6.286,1049,True,True,True
The Anniversary Party,2001,26475,The Anniversary Party,0,4931888,,5.643,86,False,True,False
The Apartment,1960,284,The Apartment,3000000,25000000,8.33,8.187,2681,True,True,True
The Artist,2011,74643,The Artist,15000000,133432856,8.9,7.442,3535,True,True,True
The Assignment,1997,18355,The Assignment,0,0,,6.37,158,False,True,False
The Atomic Submarine,1959,37467,The Atomic Submarine,0,0,,5.327,49,False,False,False
The Avengers,1998,9320,The Avengers,60000000,48600000,0.81,4.5,788,True,True,True
The Bachelor Party,1957,185263,The Bachelor Party,0,0,,6.778,9,False,False,False
The Back-up Plan,2010,34806,The Back-Up Plan,35000000,77477008,2.21,6.118,1491,True,True,True
The Battle of Algiers,1966,17295,The Battle of Algiers,800000,964028,1.21,7.886,898,True,True,True
The Battle of Shaker Heights,2003,21413,The Battle of Shaker Heights,1000000,0,0.0,5.72,59,False,True,False
The Beach,2000,1907,The Beach,40000000,144056873,3.6,6.484,4729,True,True,True
The Believer,2001,4012,The Believer,1500000,1309316,0.87,6.877,677,True,True,True
The Best Exotic Marigold Hotel,2011,,,,,,,,False,False,False
The Big Blue,1988,175,The Big Blue,13500000,4000000,0.3,7.442,1577,True,True,True
The Big Lebowski,1998,115,The Big Lebowski,15000000,47010480,3.13,7.837,12247,True,True,True
The Big White,2005,9968,The Big White,14000000,541840,0.04,6.186,328,True,True,True
The Birds,1963,571,The Birds,2500000,11500000,4.6,7.513,4486,True,True,True
The Black Dahlia,2006,9676,The Black Dahlia,50000000,49332692,0.99,5.633,1213,True,True,True
The Blair Witch Project,1999,2667,The Blair Witch Project,60000,248639099,4143.98,6.366,5484,True,True,True
The Blind Side,2009,22881,The Blind Side,29000000,309231694,10.66,7.666,6870,True,True,True
The Body Snatcher,1945,30346,The Body Snatcher,125000,0,0.0,6.98,202,False,True,False
The Bodyguard,1992,619,The Bodyguard,25000000,411006740,16.44,6.704,3260,True,True,True
The Bonfire of the Vanities,1990,9586,The Bonfire of the Vanities,47000000,15691192,0.33,5.618,539,True,True,True
The Book of Eli,2010,20504,The Book of Eli,80000000,157107755,1.96,6.804,6719,True,True,True
The Boondock Saints II: All Saints Day,2009,22821,The Boondock Saints II: All Saints Day,8000000,10629321,1.33,5.973,825,True,True,True
The Boondock Saints,1999,8374,The Boondock Saints,6000000,38256,0.01,7.249,2712,True,True,True
The Bounty Hunter,2010,27573,The Bounty Hunter,40000000,136300000,3.41,5.846,3070,True,True,True
The Bourne Identity,2002,2501,The Bourne Identity,60000000,214034224,3.57,7.48,10147,True,True,True
The Bourne Supremacy,2004,2502,The Bourne Supremacy,75000000,288500217,3.85,7.332,8199,True,True,True
The Bourne Ultimatum,2007,2503,The Bourne Ultimatum,70000000,442824138,6.33,7.439,8406,True,True,True
The Box,2009,22825,The Box,30000000,33333531,1.11,5.636,1900,True,True,True
The Breakfast Club,1985,2108,The Breakfast Club,1000000,51530442,51.53,7.721,8570,True,True,True
The Bridges of Madison County,1995,688,The Bridges of Madison County,24000000,182000000,7.58,7.71,2384,True,True,True
The Brothers Bloom,2008,21755,The Brothers Bloom,20000000,5530764,0.28,6.552,708,True,True,True
The Butterfly Effect,2004,1954,The Butterfly Effect,13000000,96800000,7.45,7.579,8289,True,True,True
The Cable Guy,1996,9894,The Cable Guy,47000000,102825796,2.19,5.997,2695,True,True,True
The Cell,2000,8843,The Cell,33000000,104155843,3.16,6.271,1726,True,True,True
The Change-Up,2011,49520,The Change-Up,52000000,75500000,1.45,6.159,2993,True,True,True
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,745013115,4.14,7.1,11554,True,True,True
The Cider House Rules,1999,1715,The Cider House Rules,24000000,88500000,3.69,7.091,1296,True,True,True
The Cincinnati Kid,1965,886,The Cincinnati Kid,0,15260000,,6.99,307,False,True,False
The Company of Wolves,1984,11905,The Company of Wolves,2000000,4389334,2.19,6.3,386,True,True,True
The Constant Gardener,2005,1985,The Constant Gardener,25000000,82468097,3.3,6.983,1729,True,True,True
The Cooler,2003,10744,The Cooler,4000000,10400000,2.6,6.71,392,True,True,True
The Corruptor,1999,9455,The Corruptor,25000000,15156200,0.61,6.064,312,True,True,True
The Craft,1996,9100,The Craft,15000000,24800000,1.65,6.785,2069,True,True,True
The Crow,1994,9495,The Crow,23000000,93722164,4.07,7.525,4553,True,True,True
The Crow: City of Angels,1996,10546,The Crow: City of Angels,13000000,25317287,1.95,5.507,607,True,True,True
The Crow: Salvation,2000,9456,The Crow: Salvation,10000000,0,0.0,5.482,409,False,True,False
The Crying Game,1992,11386,The Crying Game,3705538,62548947,16.88,6.842,850,True,True,True
The Curious Case of Benjamin Button,2008,4922,The Curious Case of Benjamin Button,150000000,335802786,2.24,7.6,13783,True,True,True
The Curse of the Cat People,1944,28436,The Curse of the Cat People,212000,0,0.0,6.228,147,False,True,False
The Damned United,2009,21641,The Damned United,10000000,0,0.0,7.2,698,False,True,False
The Dark Knight,2008,155,The Dark Knight,185000000,1004558444,5.43,8.531,35998,True,True,True
The Dark Knight Rises,2012,49026,The Dark Knight Rises,250000000,1081041287,4.32,7.795,24479,True,True,True
The Day the Clown Cried,1972,1665029,The Day the Clown Cried,0,0,,9.0,1,False,False,False
The Day the Earth Stood Still,1951,828,The Day the Earth Stood Still,995000,1850000,1.86,7.455,1247,True,True,True
The Debt,2010,48289,The Debt,20000000,45636368,2.28,6.567,968,True,True,True
The Deep End of the Ocean,1999,30943,The Deep End of the Ocean,38000000,28121100,0.74,6.559,541,True,True,True
The Deer Hunter,1978,11778,The Deer Hunter,15000000,49000000,3.27,7.972,4270,True,True,True
The Departed,2006,1422,The Departed,90000000,291465000,3.24,8.16,16287,True,True,True
The Descendants,2011,65057,The Descendants,20000000,177200000,8.86,6.836,3079,True,True,True
The Devil and Daniel Webster,1941,29451,All That Money Can Buy,0,0,,7.0,97,False,True,False
The Devils Advocate,1997,1813,The Devil's Advocate,57000000,153000000,2.68,7.477,6844,True,True,True
The Distinguished Gentleman,1992,10411,The Distinguished Gentleman,50000000,46666502,0.93,6.023,331,True,True,True
The Doom Generation,1995,13552,The Doom Generation,800000,284785,0.36,6.521,315,True,True,True
The Doors,1991,10537,The Doors,38000000,34416893,0.91,7.1,1613,True,True,True
The Elephant Man,1980,1955,The Elephant Man,5000000,26000000,5.2,8.0,3952,True,True,True
The Empire Strikes Back,1980,1891,The Empire Strikes Back,18000000,538400000,29.91,8.392,18503,True,True,True
The English Patient,1996,409,The English Patient,27000000,231976425,8.59,7.145,2405,True,True,True
The Evil Dead,1981,764,The Evil Dead,350000,29612367,84.61,7.279,4506,True,True,True
The Exorcist,1973,9552,The Exorcist,12000000,441306145,36.78,7.746,8692,True,True,True
The Fabulous Baker Boys,1989,10875,The Fabulous Baker Boys,13000000,18428904,1.42,6.612,367,True,True,True
The Faculty,1998,9276,The Faculty,15000000,40283321,2.69,6.57,2270,True,True,True
The Family Man,2000,5994,The Family Man,60000000,124700000,2.08,6.83,2230,True,True,True
The Fifth Element,1997,18,The Fifth Element,90000000,263920180,2.93,7.584,11828,True,True,True
The Fighter,2010,45317,The Fighter,25000000,129190869,5.17,7.379,4743,True,True,True
The Fisher King,1991,177,The Fisher King,24000000,41895491,1.75,7.3,1479,True,True,True
The Flintstones,1994,888,The Flintstones,46000000,341631208,7.43,5.4,2629,True,True,True
The Fly,1986,9426,The Fly,15000000,60629159,4.04,7.434,4992,True,True,True
The Forsaken,2001,12484,The Forsaken,15000000,8704851,0.58,5.3,178,True,True,True
The Four Feathers,2002,9093,The Four Feathers,35000000,29882645,0.85,6.639,597,True,True,True
The French Connection,1971,1051,The French Connection,1800000,41200000,22.89,7.498,2149,True,True,True
The Fugitive,1993,5503,The Fugitive,44000000,353808222,8.04,7.483,4817,True,True,True
The Game,1997,2649,The Game,50000000,109423648,2.19,7.575,7386,True,True,True
The Getaway,1972,5916,The Getaway,3352254,36734619,10.96,7.137,667,True,True,True
The Ghost and the Darkness,1996,10586,The Ghost and the Darkness,50000000,38619405,0.77,6.826,1151,True,True,True
The Girl with the Dragon Tattoo,2011,65754,The Girl with the Dragon Tattoo,90000000,232617430,2.58,7.387,7639,True,True,True
The Godfather Part II,1974,240,The Godfather Part II,13000000,102600000,7.89,8.571,14009,True,True,True
The Godfather Part III,1990,242,The Godfather Part III,54000000,136766062,2.53,7.419,6903,True,True,True
The Godfather,1972,238,The Godfather,6000000,245066411,40.84,8.687,23097,True,True,True
The Good Girl,2002,9962,The Good Girl,8000000,16900000,2.11,6.227,684,True,True,True
The Goonies,1985,9340,The Goonies,19000000,69649283,3.67,7.513,6262,True,True,True
The Graduate,1967,37247,The Graduate,3000000,104945305,34.98,7.631,3701,True,True,True
The Grapes of Wrath,1940,596,The Grapes of Wrath,800000,1591000,1.99,7.8,1110,True,True,True
The Great Train Robbery,1903,5698,The Great Train Robbery,150,0,0.0,6.986,703,False,True,False
The Green Mile,1999,497,The Green Mile,60000000,286801374,4.78,8.506,19379,True,True,True
The Grifters,1990,18129,The Grifters,0,13446769,,6.517,475,False,True,False
The Grudge,2004,1970,The Grudge,10000000,183474602,18.35,5.933,3208,True,True,True
The Hangover,2009,18785,The Hangover,35000000,469310836,13.41,7.334,18170,True,True,True
The Haunting,1999,11618,The Haunting,80000000,177311151,2.22,5.5,1540,True,True,True
The Hebrew Hammer,2003,19187,The Hebrew Hammer,2000000,94615,0.05,5.47,67,True,True,True
The Help,2011,50014,The Help,25000000,216600000,8.66,8.204,9090,True,True,True
The Hills Have Eyes,2006,9792,The Hills Have Eyes,15000000,69623713,4.64,6.476,3372,True,True,True
The Hitchhikers Guide to the Galaxy,2005,7453,The Hitchhiker's Guide to the Galaxy,50000000,104500000,2.09,6.687,4274,True,True,True
The Horse Whisperer,1998,547,The Horse Whisperer,60000000,186883563,3.11,6.9,1192,True,True,True
The Hospital,1971,32082,The Hospital,0,0,,6.616,108,False,True,False
The House Next Door,2006,18742,The House Next Door,0,0,,4.558,26,False,False,False
The Hudsucker Proxy,1994,11934,The Hudsucker Proxy,25000000,2800000,0.11,7.074,1198,True,True,True
The Hustler,1961,990,The Hustler,2000000,7600000,3.8,7.664,1095,True,True,True
The Ice Storm,1997,68924,The Ice Storm,18000000,16000000,0.89,6.881,749,True,True,True
The Ides of March,2011,10316,The Ides of March,12500000,76338111,6.11,6.677,2722,True,True,True
The Imaginarium of Doctor Parnassus,2009,8054,The Imaginarium of Doctor Parnassus,30000000,64352607,2.15,6.385,2898,True,True,True
The Incredibles,2004,9806,The Incredibles,92000000,631442092,6.86,7.726,18981,True,True,True
The Informant!,2009,11323,The Informant!,22000000,41771168,1.9,6.157,982,True,True,True
The Insider,1999,9008,The Insider,90000000,60300000,0.67,7.463,2084,True,True,True
The Invention of Lying,2009,23082,The Invention of Lying,18500000,32400000,1.75,6.214,2338,True,True,True
The Iron Lady,2011,71688,The Iron Lady,13000000,115890792,8.91,6.357,1891,True,True,True
The Island,2005,1635,The Island,126000000,162949164,1.29,6.699,5906,True,True,True
The Italian Job,2003,9654,The Italian Job,60000000,176070171,2.93,6.793,6058,True,True,True
The Jacket,2005,9667,The Jacket,29000000,21733230,0.75,6.867,1705,True,True,True
The Jackie Robinson Story,1950,43392,The Jackie Robinson Story,0,0,,6.3,21,False,False,False
The Jazz Singer,1927,939,The Jazz Singer,422000,2600000,6.16,6.1,254,True,True,True
The Jerk,1979,6471,The Jerk,4000000,100000000,25.0,6.892,911,True,True,True
The Jolson Story,1946,31206,The Jolson Story,0,0,,6.75,18,False,False,False
The Kids Are All Right,2010,39781,The Kids Are All Right,3500000,34705850,9.92,6.601,1596,True,True,True
The King of Comedy,1982,262,The King of Comedy,19000000,2536000,0.13,7.778,2592,True,True,True
The Kingdom,2007,4349,The Kingdom,70000000,86658558,1.24,6.735,1835,True,True,True
The Kings Speech,2010,45269,The King's Speech,15000000,414211549,27.61,7.734,9344,True,True,True
The Ladykillers,2004,5516,The Ladykillers,35000000,76700000,2.19,6.13,1757,True,True,True
The Last Boy Scout,1991,9319,The Last Boy Scout,29000000,114500000,3.95,6.846,2172,True,True,True
The Last Flight,1931,99732,The Last Flight,0,0,,6.5,14,False,False,False
The Last Samurai,2003,616,The Last Samurai,140000000,456800000,3.26,7.607,7577,True,True,True
The Last Station,2009,36811,The Last Station,0,0,,6.4,242,False,True,False
The Last Temptation of Christ,1988,11051,The Last Temptation of Christ,7000000,33773585,4.82,7.216,1198,True,True,True
The Last of the Mohicans,1992,9361,The Last of the Mohicans,40000000,75505856,1.89,7.385,3439,True,True,True
The Leopard Man,1943,28438,The Leopard Man,0,0,,6.519,130,False,True,False
The Life and Death of Colonel Blimp,1943,25037,The Life and Death of Colonel Blimp,2000000,275472,0.14,7.452,271,True,True,True
The Life of David Gale,2003,11615,The Life of David Gale,50000000,38955598,0.78,7.436,2202,True,True,True
The Limey,1999,10388,The Limey,10000000,3204663,0.32,6.538,500,True,True,True
The Lincoln Lawyer,2011,50348,The Lincoln Lawyer,40000000,85412898,2.14,7.21,3665,True,True,True
The Little Mermaid,1989,10144,The Little Mermaid,40000000,211343479,5.28,7.3,8434,True,True,True
The Long Kiss Goodnight,1996,11412,The Long Kiss Goodnight,65000000,89456761,1.38,6.589,1355,True,True,True
The Lord of the Rings: The Fellowship of the Ring,2001,120,The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,9.37,8.436,27753,True,True,True
The Lord of the Rings: The Return of the King,2003,122,The Lord of the Rings: The Return of the King,94000000,1118888979,11.9,8.499,26754,True,True,True
The Lord of the Rings: The Two Towers,2002,121,The Lord of the Rings: The Two Towers,79000000,926287400,11.73,8.421,24049,True,True,True
The Losers,2010,34813,The Losers,25000000,23580000,0.94,6.259,1995,True,True,True
The Lost Boys,1987,1547,The Lost Boys,8500000,32222567,3.79,7.105,2315,True,True,True
The Lost Weekend,1945,28580,The Lost Weekend,1250000,11000000,8.8,7.629,670,True,True,True
The Lost World: Jurassic Park,1997,330,The Lost World: Jurassic Park,73000000,618638999,8.47,6.567,9281,True,True,True
The Majestic,2001,11086,The Majestic,72000000,37317673,0.52,6.766,847,True,True,True
The Man Who Knew Too Much,1956,574,The Man Who Knew Too Much,1200000,11300000,9.42,7.433,1564,True,True,True
The Man Who Wasnt There,2001,10778,The Man Who Wasn't There,20000000,18918721,0.95,7.512,1764,True,True,True
The Man in the Iron Mask,1998,9313,The Man in the Iron Mask,35000000,183000000,5.23,6.655,4149,True,True,True
The Manchurian Candidate,2004,14462,The Manchurian Candidate,80000000,96105964,1.2,6.487,1750,True,True,True
The Mask,1994,854,The Mask,23000000,351583407,15.29,6.991,11328,True,True,True
The Master,2012,68722,The Master,32000000,28258060,0.88,7.096,3327,True,True,True
The Matrix Reloaded,2003,604,The Matrix Reloaded,150000000,738599701,4.92,7.079,12039,True,True,True
The Matrix,1999,603,The Matrix,63000000,463517383,7.36,8.25,28103,True,True,True
The Mechanic,2011,27582,The Mechanic,40000000,51070807,1.28,6.54,3618,True,True,True
The Men Who Stare at Goats,2009,10313,The Men Who Stare at Goats,24000000,68729358,2.86,5.969,2417,True,True,True
The Messenger: The Story of Joan of Arc,1999,10047,The Messenger: The Story of Joan of Arc,85000000,66976317,0.79,6.423,1605,True,True,True
The Miracle Worker,1962,1162,The Miracle Worker,500000,2500000,5.0,7.89,345,True,True,True
The Morgue,2008,14209,The Morgue,0,0,,4.7,34,False,False,False
The Mummy,1999,564,The Mummy,80000000,415885488,5.2,6.984,10105,True,True,True
The Naked City,1948,20482,The Naked City,0,0,,7.208,283,False,True,False
The NeverEnding Story,1984,34584,The NeverEnding Story,27000000,20158808,0.75,7.223,4407,True,True,True
The Next Three Days,2010,43539,The Next Three Days,30000000,67448651,2.25,7.087,3121,True,True,True
The Night of the Hunter,1955,3112,The Night of the Hunter,795000,0,0.0,7.855,1843,False,True,False
The Nightmare Before Christmas,1993,9479,The Nightmare Before Christmas,18000000,75634409,4.2,7.833,10390,True,True,True
The Nines,2007,12994,The Nines,0,0,,5.947,474,False,True,False
The Ninth Gate,1999,622,The Ninth Gate,38000000,58401898,1.54,6.495,3370,True,True,True
The Old Dark House,1932,31592,The Old Dark House,0,0,,6.724,304,False,True,False
The Omega Man,1971,11234,The Omega Man,0,8720000,,6.169,621,False,True,False
